mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
18	18	0	0	3/4	2	1	I6	F	I		I6		I		6					M	0	0	4, 1, 0		0	4
19	19	0	0	3/4	2	1	V7	F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	20	0	0	3/4	2	1	I}	F	I		I		I						}	M	0	0	0, 4, 1		0	0
20	20	1/2	1/2	3/4	2	1	V7	F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
21	21	0	0	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
21	21	1/2	1/2	3/4	2	1	V7	F	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
22	22	0	0	3/4	2	1	I	F	I		I		I							M	0	0	0, 4, 1		0	0
22	22	1/2	1/2	3/4	2	1	V6/vi{	F	I		V6/vi		V		6		vi		{	M	0	0	8, 5, 4		4	8
23	23	0	0	3/4	2	1	vi	F	I		vi		vi							m	0	0	3, 0, 4		3	3
25	25	0	0	3/4	2	1	#viio65/vi	F	I		#viio65/vi		#vii	o	65		vi			o7	0	0	5, 2, -1, 8		8	5
27	27	0	0	3/4	2	1	vi6	F	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
29	29	0	0	3/4	2	1	V.viio65	F	V		viio65		vii	o	65					o7	0	0	2, -1, -4, 5		5	2
31	31	0	0	3/4	2	1	i6	F	V		i6		i		6					m	0	0	-3, 1, 0		0	-3
33	33	0	0	3/4	2	1	bVI6	F	V		bVI6		bVI		6					M	0	0	0, -3, -4		-4	0
35	35	0	0	3/4	2	1	Ger6	F	V		Ger6	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
37	37	0	0	3/4	2	1	V}	F	V		V		V						}	M	0	0	1, 5, 2		1	1
37	37	1/2	1/2	3/4	2	1	i	F	V		i		i							m	0	0	0, -3, 1		0	0
38	38	0	0	3/4	2	1	V	F	V		V		V							M	0	0	1, 5, 2		1	1
38	38	1/2	1/2	3/4	2	1	i	F	V		i		i							m	0	0	0, -3, 1		0	0
39	39	0	0	3/4	2	1	V	F	V		V		V							M	0	0	1, 5, 2		1	1
41	41	0	0	3/4	2	1	I{	F	V		I		I						{	M	0	0	0, 4, 1		0	0
42	42	0	0	3/4	2	1	V7	F	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
43	43	0	0	3/4	2	1	I	F	V		I		I							M	0	0	0, 4, 1		0	0
43	43	1/4	1/4	3/4	2	1	I6	F	V		I6		I		6					M	0	0	4, 1, 0		0	4
43	43	1/2	1/2	3/4	2	1	V	F	V		V		V							M	0	0	1, 5, 2		1	1
44	44	0	0	3/4	2	1	I(97)	F	V		I(97)		I			97				M	0	0	0, 4, 1	2, 5	0	0
44	44	1/2	1/2	3/4	2	1	I	F	V		I		I							M	0	0	0, 4, 1		0	0
45	45	0	0	3/4	2	1	IV6	F	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
46	46	0	0	3/4	2	1	V6	F	V		V6		V		6					M	0	0	5, 2, 1		1	5
46	46	1/2	1/2	3/4	2	1	V65	F	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
47	47	0	0	3/4	2	1	I	F	V		I		I							M	0	0	0, 4, 1		0	0
47	47	1/4	1/4	3/4	2	1	IV6	F	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
